00663 00444 00491 01310 02256 01803 01516 01598 01858 02223 
00700 00952 00581 01729 01794 01473 01542 01670 02057 01704 
01005 00978 01041 01582 01814 02154 02024 02084 02039 01855 
01265 01193 01084 02912 02135 03241 02975 02228 02188 01984 
03047 02283 04224 10156 08965 09607 04589 02703 02095 01186 
15181 08590 01106 00999 05902 06872 02735 02217 01835 01580 
03246 02151 00408 00465 00882 01661 02251 02101 02161 01933 
00627 00131 00651 00279 00444 00630 00557 00839 01338 01513 
00308 00137 00217 00753 00623 00227 00241 00300 00447 01377 
00264 00255 00175 00284 00166 00226 00171 01171 01066 00224 
