00625 00397 00437 01251 01881 01683 01394 01584 01812 02138 
00598 00900 00578 01668 01558 01256 01360 01657 01890 01641 
00912 00949 01049 01526 01732 01886 01736 01856 01969 01844 
01309 01144 01127 02022 01671 02168 02007 01998 02033 01818 
03300 02068 01500 01705 01595 01527 01699 02212 02102 01189 
19352 05210 01066 00887 01446 01603 01434 01845 01741 01558 
02006 01791 00509 00415 00568 00974 01531 01697 02104 01913 
00514 00189 00661 00267 00317 00419 00332 00738 01314 01463 
00289 00181 00232 00707 00550 00151 00156 00247 00409 01341 
00254 00232 00201 00263 00133 00177 00117 00248 00500 00213 
